,dataset,movie,shot,scale_label,scale_val,move_label,move_val,total_frames,fps,trailer_duration,frame_height,frame_width,frame_channels
0,train,tt0444850,0014,CS,1,Static,4,53.0,24.0,2.2,1080.0,1920.0,3
1,train,tt0444850,0015,CS,1,Static,4,45.0,24.0,1.9,1080.0,1920.0,3
2,train,tt0444850,0016,ECS,0,Static,4,24.0,24.0,1.0,1080.0,1920.0,3
3,train,tt2005173,0002,MS,2,Static,4,22.0,25.0,0.9,1080.0,1920.0,3
4,train,tt2005173,0014,CS,1,Static,4,22.0,25.0,0.9,1080.0,1920.0,3
5,train,tt2005173,0022,MS,2,Static,4,22.0,25.0,0.9,1080.0,1920.0,3
6,train,tt2005173,0042,FS,3,Static,4,26.0,25.0,1.0,1080.0,1920.0,3
7,train,tt2005185,0014,MS,2,Motion,0,57.0,24.0,2.4,1080.0,1920.0,3
8,train,tt2005185,0028,MS,2,Pull,2,20.0,24.0,0.8,1080.0,1920.0,3
9,train,tt2005185,0029,FS,3,Motion,0,37.0,24.0,1.5,1080.0,1920.0,3
10,train,tt2005185,0033,CS,1,Static,4,49.0,24.0,2.0,1080.0,1920.0,3
11,train,tt2005185,0057,FS,3,Static,4,21.0,24.0,0.9,1080.0,1920.0,3
12,train,tt2005185,0064,MS,2,Motion,0,54.0,24.0,2.2,1080.0,1920.0,3
13,train,tt2005374,0011,MS,2,Motion,0,38.0,24.0,1.6,1080.0,1920.0,3
14,train,tt2005374,0022,LS,4,Motion,0,24.0,24.0,1.0,1080.0,1920.0,3
15,train,tt2006040,0002,MS,2,Static,4,45.0,24.0,1.9,720.0,1280.0,3
16,train,tt2006040,0006,MS,2,Static,4,42.0,24.0,1.8,720.0,1280.0,3
17,train,tt2006040,0046,MS,2,Motion,0,19.0,24.0,0.8,720.0,1280.0,3
18,train,tt2006040,0047,ECS,0,Motion,0,28.0,24.0,1.2,720.0,1280.0,3
