,video_name,move_label,tag
0,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt0444850_0014.mp4,Static,CS
1,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt0444850_0015.mp4,Static,CS
2,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt0444850_0016.mp4,Static,ECS
3,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2005173_0002.mp4,Static,MS
4,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2005173_0014.mp4,Static,CS
5,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2005173_0022.mp4,Static,MS
6,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2005173_0042.mp4,Static,FS
10,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2005185_0033.mp4,Static,CS
11,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2005185_0057.mp4,Static,FS
15,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2006040_0002.mp4,Static,MS
16,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2006040_0006.mp4,Static,MS
19,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2006040_0052.mp4,Static,FS
20,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2006040_0054.mp4,Static,ECS
21,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2006802_0010.mp4,Static,MS
22,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2006802_0011.mp4,Static,MS
23,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2006810_0004.mp4,Static,MS
24,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2006810_0008.mp4,Static,MS
26,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2006810_0027.mp4,Static,MS
27,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2006810_0038.mp4,Static,FS
31,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2007421_0042.mp4,Static,ECS
33,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2008513_0012.mp4,Static,ECS
34,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2008513_0025.mp4,Static,ECS
35,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2008513_0033.mp4,Static,CS
37,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2008513_0044.mp4,Static,MS
38,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2008513_0045.mp4,Static,FS
42,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2008655_0024.mp4,Static,MS
43,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2008655_0037.mp4,Static,CS
44,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2008655_0043.mp4,Static,CS
45,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2008655_0044.mp4,Static,MS
46,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2008655_0065.mp4,Static,MS
47,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2008655_0072.mp4,Static,FS
48,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2010939_0015.mp4,Static,ECS
50,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2011138_0006.mp4,Static,ECS
51,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2011159_0076.mp4,Static,MS
52,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2011159_0106.mp4,Static,MS
53,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2011300_0004.mp4,Static,CS
54,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2011300_0010.mp4,Static,MS
55,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2011300_0026.mp4,Static,MS
56,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2011300_0051.mp4,Static,CS
57,/workspaces/final-project-shot-type/data/shot-type-dataset/trailer_v3/train/shot_tt2011953_0008.mp4,Static,ECS
